#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
298,Twiga,Nairobi,Kenya,Africa,283.0,2023-08-20,33.0,858.0,575.0,Food,Series C,157,2023,-1.28333,36.81667
305,AppFolio,Santa Barbara,USA,North America,149.0,2023-08-17,9.0,1656.0,1507.0,Real Estate,Post-IPO,30,2023,34.42083,-119.69819
307,StreamElements,Tel Aviv,Israel,Asia,60.0,2023-08-17,35.0,171.0,111.0,Media,Series B,111,2023,32.08088,34.78057
311,SecureWorks,Atlanta,USA,North America,300.0,2023-08-14,15.0,2000.0,1700.0,Security,Post-IPO,83,2023,33.749,-84.38798
320,Blend,San Francisco Bay Area,USA,North America,150.0,2023-08-09,19.0,789.0,639.0,Finance,Post-IPO,665,2023,37.77493,-122.41942
323,Dealtale,Tel Aviv,Israel,Asia,70.0,2023-08-09,100.0,70.0,0.0,Sales,Acquired,2,2023,32.08088,34.78057
328,Thoughtworks,Chicago,USA,North America,579.0,2023-08-08,5.0,11580.0,11001.0,Other,Post-IPO,748,2023,41.85003,-87.65005
329,Rapid7,Boston,USA,North America,470.0,2023-08-08,18.0,2611.0,2141.0,Security,Post-IPO,89,2023,42.35843,-71.05977
331,Doximity,San Francisco Bay Area,USA,North America,100.0,2023-08-08,10.0,1000.0,900.0,Healthcare,Post-IPO,82,2023,37.77493,-122.41942
332,23andMe,San Francisco Bay Area,USA,North America,71.0,2023-08-08,11.0,645.0,574.0,Healthcare,Post-IPO,1100,2023,37.77493,-122.41942
339,Top Hat,Toronto,Canada,North America,42.0,2023-08-04,7.0,600.0,558.0,Education,Series E,234,2023,43.70643,-79.39864
342,Discord,San Francisco Bay Area,USA,North America,37.0,2023-08-03,4.0,925.0,888.0,Consumer,Series H,0,2023,37.77493,-122.41942
347,Spinny,Gurugram,India,Asia,300.0,2023-08-02,5.0,6000.0,5700.0,Transportation,Series E,513,2023,28.4601,77.02635
348,Tekion,Bengaluru,India,Asia,300.0,2023-08-02,10.0,3000.0,2700.0,Other,Series D,435,2023,12.97194,77.59369
349,BetterUp,San Francisco Bay Area,USA,North America,100.0,2023-08-02,16.0,625.0,525.0,HR,Series E,567,2023,37.77493,-122.41942
350,Augury,New York City,USA,North America,70.0,2023-08-02,18.0,389.0,319.0,Manufacturing,Series E,274,2023,40.71427,-74.00597
352,Gupy,Sao Paulo,Brazil,South America,58.0,2023-08-02,8.0,725.0,667.0,HR,Series B,105,2023,-23.5475,-46.63611
361,Vesttoo,Tel Aviv,Israel,Asia,150.0,2023-08-01,75.0,200.0,50.0,Finance,Series C,110,2023,32.08088,34.78057
362,Planet,San Francisco Bay Area,USA,North America,117.0,2023-08-01,10.0,1170.0,1053.0,Aerospace,Post-IPO,574,2023,37.77493,-122.41942
363,Paper,Montreal,Canada,North America,106.0,2023-08-01,4.0,2650.0,2544.0,Education,Series D,389,2023,45.50884,-73.58781
364,Archipelago,San Francisco Bay Area,USA,North America,40.0,2023-08-01,30.0,133.0,93.0,Real Estate,Series B,57,2023,37.77493,-122.41942
370,Fable,Toronto,Canada,North America,13.0,2023-07-31,9.0,144.0,131.0,Other,Series A,12,2023,43.70643,-79.39864
373,Kape Technologies,London,United Kingdom,Europe,200.0,2023-07-30,30.0,667.0,467.0,Security,Post-IPO,188,2023,51.50853,-0.12574
374,Eroad,Auckland,New Zealand,Australia,200.0,2023-07-28,31.0,645.0,445.0,Transportation,Unknown,46,2023,-36.84853,174.76349
377,Milkbasket,Gurugram,India,Asia,400.0,2023-07-27,67.0,597.0,197.0,Food,Acquired,39,2023,28.4601,77.02635
378,Wish,San Francisco Bay Area,USA,North America,255.0,2023-07-27,34.0,750.0,495.0,Retail,Post-IPO,1600,2023,37.77493,-122.41942
379,Point,San Francisco Bay Area,USA,North America,61.0,2023-07-27,28.0,218.0,157.0,Real Estate,Series C,149,2023,37.77493,-122.41942
381,Verbit,New York City,USA,North America,60.0,2023-07-27,6.0,1000.0,940.0,Data,Series E,569,2023,40.71427,-74.00597
384,Copia,Nairobi,Kenya,Africa,350.0,2023-07-26,25.0,1400.0,1050.0,Retail,Series C,103,2023,-1.28333,36.81667
385,Figure,San Francisco Bay Area,USA,North America,90.0,2023-07-26,20.0,450.0,360.0,Crypto,Unknown,1500,2023,37.77493,-122.41942
386,Calendly,Atlanta,USA,North America,60.0,2023-07-26,10.0,600.0,540.0,Other,Series B,351,2023,33.749,-84.38798
389,Deep Instict,New York City,USA,North America,46.0,2023-07-25,15.0,307.0,261.0,Security,Unknown,322,2023,40.71427,-74.00597
402,AgentSync,Denver,USA,North America,67.0,2023-07-19,24.0,279.0,212.0,Finance,Series B,111,2023,39.73915,-104.9847
403,Inspirato,Denver,USA,North America,50.0,2023-07-19,6.0,833.0,783.0,Travel,Post-IPO,179,2023,39.73915,-104.9847
404,Tilia,San Francisco Bay Area,USA,North America,28.0,2023-07-19,32.0,88.0,60.0,Finance,Unknown,32,2023,37.77493,-122.41942
409,Sarcos,Salt Lake City,USA,North America,75.0,2023-07-17,25.0,300.0,225.0,Aerospace,Post-IPO,316,2023,40.76078,-111.89105
415,PayScale,Seattle,USA,North America,14.0,2023-07-14,2.0,700.0,686.0,HR,Acquired,33,2023,47.60621,-122.33207
419,AudioCodes,Tel Aviv,Israel,Asia,80.0,2023-07-13,6.0,1333.0,1253.0,Other,Post-IPO,91,2023,32.08088,34.78057
422,Deepwatch,Tampa Bay,USA,North America,30.0,2023-07-13,7.0,429.0,399.0,Security,Series C,256,2023,27.94752,-82.45843
432,DeepVerge,Dublin,Ireland,Europe,50.0,2023-07-12,100.0,50.0,0.0,Healthcare,Post-IPO,20,2023,53.33306,-6.24889
433,Freightos,Miami,USA,North America,50.0,2023-07-12,13.0,385.0,335.0,Logistics,Post-IPO,118,2023,25.77427,-80.19366
438,WayCool,Chennai,India,Asia,300.0,2023-07-11,12.0,2500.0,2200.0,Food,Unknown,363,2023,13.08784,80.27847
439,Matterport,San Francisco Bay Area,USA,North America,170.0,2023-07-11,30.0,567.0,397.0,Data,Post-IPO,409,2023,37.36883,-122.03635
441,Sisense,New York City,USA,North America,100.0,2023-07-11,15.0,667.0,567.0,Data,Series F,274,2023,40.71427,-74.00597
447,FrontRow,Bengaluru,India,Asia,4.0,2023-07-10,100.0,4.0,0.0,Education,Series A,17,2023,12.97194,77.59369
456,FNZ,London,United Kingdom,Europe,1000.0,2023-07-06,15.0,6667.0,5667.0,Finance,Private Equity …,0,2023,51.50853,-0.12574
457,Perfect Day,San Francisco Bay Area,USA,North America,134.0,2023-07-06,15.0,893.0,759.0,Food,Series D,711,2023,37.87159,-122.27275
459,TytoCare,New York City,USA,North America,20.0,2023-07-06,10.0,200.0,180.0,Healthcare,Series D,156,2023,40.71427,-74.00597
466,Highsnobiety,Berlin,Germany,Europe,24.0,2023-07-03,10.0,240.0,216.0,Media,Acquired,8,2023,52.52437,13.41053
467,Zip,Sydney,Australia,Australia,300.0,2023-07-02,20.0,1500.0,1200.0,Finance,Post-IPO,896,2023,-33.86785,151.20732
473,Headspace,Los Angeles,USA,North America,181.0,2023-06-29,15.0,1207.0,1026.0,Healthcare,Unknown,216,2023,34.05223,-118.24368
474,Artsy,New York City,USA,North America,35.0,2023-06-29,15.0,233.0,198.0,Retail,Series D,100,2023,40.71427,-74.00597
477,Torii,Ra'anana,Israel,Asia,28.0,2023-06-29,30.0,93.0,65.0,Other,Series B,65,2023,32.1836,34.87386
483,ClickUp,San Diego,USA,North America,90.0,2023-06-28,10.0,900.0,810.0,Other,Series C,537,2023,32.71571,-117.16472
486,Plex,San Francisco Bay Area,USA,North America,37.0,2023-06-28,20.0,185.0,148.0,Media,Unknown,81,2023,37.38605,-122.08385
490,New Relic,San Francisco Bay Area,USA,North America,255.0,2023-06-27,10.0,2550.0,2295.0,Infrastructure,Post-IPO,214,2023,37.77493,-122.41942
498,Robinhood,San Francisco Bay Area,USA,North America,150.0,2023-06-26,7.0,2143.0,1993.0,Finance,Post-IPO,5600,2023,37.45383,-122.18219
499,Convoy,Seattle,USA,North America,30.0,2023-06-26,5.0,600.0,570.0,Logistics,Series E,1100,2023,47.60621,-122.33207
504,Uber,San Francisco Bay Area,USA,North America,200.0,2023-06-21,0.9961647656522389,20077.0,19877.0,Transportation,Post-IPO,25200,2023,37.77493,-122.41942
506,Ritual,Toronto,Canada,North America,38.0,2023-06-21,40.0,95.0,57.0,Food,Series C,134,2023,43.70643,-79.39864
510,Grab,Singapore,Singapore,Asia,1000.0,2023-06-20,11.0,9091.0,8091.0,Transportation,Post-IPO,16500,2023,1.28967,103.85007
514,Chingari,Bengaluru,India,Asia,48.0,2023-06-19,20.0,240.0,192.0,Media,Unknown,88,2023,12.97194,77.59369
517,Mojocare,Bengaluru,India,Asia,170.0,2023-06-17,80.0,213.0,43.0,Healthcare,Series A,24,2023,12.97194,77.59369
520,Pilot,San Francisco Bay Area,USA,North America,45.0,2023-06-16,13.0,346.0,301.0,Finance,Unknown,116,2023,37.77493,-122.41942
523,CareRev,Los Angeles,USA,North America,100.0,2023-06-15,33.0,303.0,203.0,Healthcare,Series A,51,2023,34.05223,-118.24368
527,FrontRow,Bengaluru,India,Asia,39.0,2023-06-15,90.0,43.0,4.0,Education,Series A,17,2023,12.97194,77.59369
528,Bitwise,Fresno,USA,North America,900.0,2023-06-14,100.0,900.0,0.0,Crypto,Series B,84,2023,36.74773,-119.77237
529,Sonos,New York City,USA,North America,130.0,2023-06-14,7.0,1857.0,1727.0,Consumer,Post-IPO,455,2023,40.71427,-74.00597
530,TrueCar,Los Angeles,USA,North America,102.0,2023-06-14,24.0,425.0,323.0,Transportation,Post-IPO,340,2023,34.05223,-118.24368
531,Olo,New York City,USA,North America,81.0,2023-06-14,11.0,736.0,655.0,Food,Post-IPO,184,2023,40.71427,-74.00597
537,Grubhub,San Francisco Bay Area,USA,North America,400.0,2023-06-12,15.0,2667.0,2267.0,Food,Acquired,284,2023,37.77493,-122.41942
538,GoCardless,London,United Kingdom,Europe,150.0,2023-06-12,17.0,882.0,732.0,Finance,Series G,529,2023,51.50853,-0.12574
539,Pendo,Raleigh,USA,North America,100.0,2023-06-12,12.0,833.0,733.0,Product,Series F,469,2023,35.7721,-78.63861
540,Chegg,San Francisco Bay Area,USA,North America,80.0,2023-06-12,4.0,2000.0,1920.0,Education,Post-IPO,227,2023,37.35411,-121.95524
542,TaxBit,San Francisco Bay Area,USA,North America,80.0,2023-06-11,40.0,200.0,120.0,Crypto,Unknown,253,2023,37.77493,-122.41942
544,Trybe,Sao Paulo,Brazil,South America,128.0,2023-06-09,35.0,366.0,238.0,Education,Series B,40,2023,-23.5475,-46.63611
545,23andMe,San Francisco Bay Area,USA,North America,75.0,2023-06-09,9.0,833.0,758.0,Healthcare,Post-IPO,1100,2023,37.77493,-122.41942
546,Expel,Washington DC,USA,North America,60.0,2023-06-09,10.0,600.0,540.0,Security,Series E,288,2023,38.89511,-77.03637
548,Cityblock Health,New York City,USA,North America,155.0,2023-06-08,12.0,1292.0,1137.0,Healthcare,Series D,891,2023,40.71427,-74.00597
549,Highspot,Seattle,USA,North America,140.0,2023-06-08,15.0,933.0,793.0,Sales,Series F,644,2023,47.60621,-122.33207
561,Edgio,Phoenix,USA,North America,134.0,2023-06-06,12.0,1117.0,983.0,Infrastructure,Post-IPO,462,2023,33.44838,-112.07404
562,Reddit,San Francisco Bay Area,USA,North America,90.0,2023-06-06,5.0,1800.0,1710.0,Consumer,Series F,1300,2023,37.77493,-122.41942
563,Linktree,Melbourne,Australia,Australia,60.0,2023-06-06,27.0,222.0,162.0,Consumer,Unknown,165,2023,-37.814,144.96332
564,Dragos,Baltimore,USA,North America,50.0,2023-06-06,9.0,556.0,506.0,Security,Series D,364,2023,39.29038,-76.61219
568,Spotify,Stockholm,Sweden,Europe,200.0,2023-06-05,2.0,9400.0,9200.0,Media,Post-IPO,2100,2023,59.32938,18.06871
572,ZoomInfo,Vancouver,Canada,North America,120.0,2023-06-02,3.0,4000.0,3880.0,Sales,Post-IPO,7,2023,49.24966,-123.11934
578,Outbrain,New York City,USA,North America,90.0,2023-06-01,10.0,900.0,810.0,Marketing,Post-IPO,394,2023,40.71427,-74.00597
584,Zendesk,San Francisco Bay Area,USA,North America,320.0,2023-05-31,8.0,4000.0,3680.0,Support,Acquired,85,2023,37.77493,-122.41942
585,ZipRecruiter,Los Angeles,USA,North America,270.0,2023-05-31,20.0,1350.0,1080.0,Recruiting,Post-IPO,769,2023,34.05223,-118.24368
586,Vendr,Boston,USA,North America,100.0,2023-05-31,25.0,400.0,300.0,Other,Series B,216,2023,42.35843,-71.05977
588,Mux,San Francisco Bay Area,USA,North America,40.0,2023-05-31,30.0,133.0,93.0,Infrastructure,Series D,173,2023,37.77493,-122.41942
589,Away,New York City,USA,North America,22.0,2023-05-31,8.0,275.0,253.0,Retail,Series D,181,2023,40.71427,-74.00597
590,Taxfix,Berlin,Germany,Europe,120.0,2023-05-30,20.0,600.0,480.0,Finance,Series D,330,2023,52.52437,13.41053
595,Evolve,Denver,USA,North America,164.0,2023-05-29,14.0,1171.0,1007.0,Travel,Series F,224,2023,39.73915,-104.9847
596,Project44,Chicago,USA,North America,130.0,2023-05-26,10.0,1300.0,1170.0,Logistics,Unknown,817,2023,41.85003,-87.65005
599,Airmeet,Bengaluru,India,Asia,75.0,2023-05-25,30.0,250.0,175.0,Marketing,Series B,50,2023,12.97194,77.59369
602,Guild,Denver,USA,North America,172.0,2023-05-24,12.0,1433.0,1261.0,Education,Series F,643,2023,39.73915,-104.9847
604,Flink,Berlin,Germany,Europe,100.0,2023-05-24,16.0,625.0,525.0,Food,Series B,1000,2023,52.52437,13.41053
605,Western Digital,Kfar Saba,Israel,Asia,60.0,2023-05-24,7.0,857.0,797.0,Hardware,Post-IPO,900,2023,32.175,34.90694
618,Pie Insurance,Washington DC,USA,North America,63.0,2023-05-18,14.0,450.0,387.0,Finance,Series D,621,2023,38.89511,-77.03637
624,Stash,New York City,USA,North America,40.0,2023-05-17,10.0,400.0,360.0,Finance,Unknown,480,2023,40.71427,-74.00597
